post,label
Says Hillary Clinton is the one that labeled African-American youth as superpredators.,Truth
"Over half of science, technology, engineering and mathematics students receiving advanced degrees are not citizens of the United States of America.",Truth
"The Walton family, which owns Wal-Mart, controls a fortune equal to the wealth of the bottom 42 percent of Americans combined.",Truth
President Obama has raised taxes 19 times.,Truth
Barack Obama refuses to acknowledge Jerusalem as the capital of Israel.,Truth
"By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.",Truth
Says Texas high school graduation rates are at an all-time highthe third-highest in the nationwhich represents a significant turnaround from just a few short years ago.,Truth
"Says how much money the government is collecting from people...in terms of the gross domestic product is the lowest in 40, 50 years.",Truth
Claims Ohio Gov. John Kasich says climate change is a problem.,Truth
Their New York casino deal was called rigged and corrupt.,Truth
The Milwaukee County sheriffs department plays only a limited role as a traditional law enforcement agency and in 2009 reported far fewer crimes to the FBI than the University of Wisconsin-Milwaukee police did.,Truth
Bing Energy said it decided to move to Florida because of Gov. Rick Scotts plan to eliminate the corporate tax.,Truth
Marcy Kaptur voted against a ban which would have prevented the aborting of a baby girl for the sole reason that shes a girl.,Truth
Says Mitt Romney wants to add $2 trillion to defense budget that the military hasnt asked for.,Truth
We are making the largest investment in education in our nations history.,Truth
Obamacare takes $500 billion out of Medicare and funds Obamacare.,Truth
"Over 3 million Americans are employed in the growing green-collar workforce, which is more than the number of people working in the fossil fuel industry.",Truth
The federal deficit would pay for 40 gallons of New Hampshire maple syrup for everyone in the United States.,Truth
Says One-third of our healthcare dollars go to wasteful insurance billing and bureaucracy.,Truth
"But it was Hillary Clinton, in an interview with Tom Brokaw, who quote 'paid tribute' to Ronald Reagan's economic and foreign policy.",Truth
"The company I created, Point Judith Capital, ""is the only venture capital firm in Rhode Island.""",Truth
"Sarah Palin endorsed a Wasilla policy that charged sexual assault victims for their ""rape kits.""",Truth
"One out of two Americans are living either in or near poverty. That means 150 million Americans, half of us.",Truth
Says the foreman of the jury that convicted him was a Greenpeace activist.,Truth
"On Medicare for current retirees, hes cutting $716 billion from the program.",Truth
"Says Leah Vukmir supports allowing people to carry concealed weapons into day care centers, churches, health care clinics and playgrounds.",Truth
"Every Republican nominee since Richard Nixon, who at one time was under an audit, has released their tax returns.",Truth
The Republican presidential nominee hasnt won women since 1988.,Truth
Theres no data that says a gun-free zone has saved lives.,Truth
"The musical Mamma Mia! has ""been selling out for years.""",Truth
"Says in this next biennium, the cost of primary and secondary education is going to increase by more that $1000 per student. Half of that $1000 $500 per student is accounted for by the increased cost of PERS alone.",Truth
"Within just a few years, immigration as a share of national population is set to break all historical records.",Truth
North Carolina Republican Senate candidate Thom Tillis would let insurance companies deny coverage for pre-existing conditions.,Truth
President Obama is shrinking our military.,Truth
The cost of the food stamp program is at an all-time high.,Truth
Georgia has had ʺmore bank failures than any other state.ʺ,Truth
Georgias high school graduation rate topped 80 percent in 2010.,Truth
Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.,Truth
"Measures in Barack Obama's health plan could ""lower health care costs for the typical family by $2,500 a year.""",Truth
"McCain, ""voted against renewable sources of energy, against biofuels, against solar power, against wind power.... """,Truth
Says opponents of the health care law prevailed on our two main arguments to the U.S. Supreme Court.,Truth
(GM and Chrysler) repaid their loans.,Truth
I am now the No. 2 member of this House in terms of length of service.,Truth
"Georgia has more than 700 law enforcement agencies, and fewer than 20 percent of them are state-certified.",Truth
I had the lowest net worth of any American president in the 20th century when I took office.,Truth
The Clintons foundation took millions from foreign governments including United Arab Emirates and Saudi Arabia.,Truth
"Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus.",Truth
Clayton County Public Schools recently achieved a milestone that has eluded other metropolitan districts across the state by meeting federal guidelines for having a highly qualified staff.,Truth
There is not a single candidate in the Republican primary that thinks we should do anything about climate change.,Truth
"Says Hillary Clinton and the Democrats admitted theres one candidate who scares Hillary Clinton, and thats Sen. Marco Rubio.",Truth
I took the state of Ohio from an $8 billion hole to a $2 billion surplus.,Truth
The (Ohio) economy is on the mend. It is in better shape than it was when we took office.,Truth
The federal government is now on track for the second-largest budget deficit in 65 years.,Truth
"When I was born, less than 10 percent of the federal budget was entitlement spending. Its now 60 percent of the budget.",Truth
Says we have now more Border Patrol officers than weve had at any time in our history.,Truth
60 percent of all Americans do not want to see Planned Parenthood defunded.,Truth
The state that has the highest per capita number of guns that end up committing crimes in New York come from Vermont.,Truth
"Taxes and fees amount to about 20 percent of a typical $300 round-trip domestic ticket. Thats higher than taxes on products like alcohol, tobacco and firearms.",Truth
"The proposed excise tax on ""Cadillac"" health plans will hit ""those making less than $200,000"" the hardest.",Truth
Houston is the third-most toxic city in the United States of America.,Truth
"The presidents party always gets shellacked in midterms. Its only twice, 1934 and 2002, that the presidents party actually gained in both the House and the Senate.",Truth
We spend more on our military than the next eight nations combined.,Truth
"Says Canada has one-tenth of our populationyet it issues far more high-skilled visas (more than 150,000) yearly than we do (65,000).",Truth
Says Lee Fisher wanted a $1.1 billion tax increase which could have driven countless jobs out of state.,Truth
"40 percent of illegal immigrants had a visa and then became illegal, mostly because they changed jobs.",Truth
The NCAA will get billions from the mens basketball tournament. Players get a trophy.,Truth
We spent $3-million of your money to study the DNA of bears.,Truth
TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT,Truth
"Says Connie Mack IV has been a promoter for Hooters with a history of bar room brawling, altercations and road rage.",Truth
"Unlike virtually every other campaign, we dont have a super PAC.",Truth
"Henry Kissinger ""said that we should meet with Iran guess what without precondition.""",Truth
"MikeHuckabee.com gets ""more hits than virtually any other presidential candidate.""",Truth
Donald Trump called the military that I served in a disaster.,Truth
Says Patrick Murphy has taken more money from Wall Street than any other member of Congress other than the speaker and the majority leader.,Truth
"The Bush administration has ""the Pentagon trying to take away the signing bonuses when a soldier gets wounded and ends up in the hospital, something that I'm working with a Republican senator to try to make sure never can happen again.""",Truth
"Right now, one third of all illegal aliens are going to California.",Truth
Says she stood up to Gov. Scott Walker on tax cuts for wealthy corporations while her congressional opponent voted with Walker.,Truth
97 percent of the 100 poorest counties in America are in red states.,Truth
"Last year -- actually, this year in May -- we saw New Jersey Transit fares rise anywhere from 25 percent to 47 percent.",Truth
"Says Charlie Crist stood there, over 3 African-American prisoners inchains, on their knees, on the side of the road. Saying that it was a great sight. Saying we needed to bring it to Florida.And you did this whether you know or not on the eve of Juneteenth, the day the African-American community celebrates the end of slavery.",Truth
"Says Apple CEO Steve Jobs told President Obama that the company moved factories to China because it needed 30,000 engineers.",Truth
Says roughly two-thirds of (state) corporations didnt pay any income tax in Virginia.,Truth
Sen. Obama's chair in New Hampshire is a lobbyist. He lobbies for the drug companies.,Truth
Says Tennessee has some of the lowest beer excise tax rates in the country.,Truth
Attorney General Roy Cooper refuses to do his job by not defending House Bill 2 in a lawsuit.,Truth
Candidates for governor routinely disclose their spouses tax returns.,Truth
The new Ukrainian government introduced a law abolishing the use of languages other than Ukrainian in official circumstances.,Truth
There have been three people tried and convicted by the last administration in military courts. Two are walking the street right now.,Truth
"Says 80 percent of North Carolinians support the concept that men should not be in womens restrooms, changing rooms, bathrooms, etc.",Truth
Jason Carter never passed a bill in his tenure in the state Senate.,Truth
Cap and trade legislation was originally a Republican idea.,Truth
The Obama administration is allowing state waivers from welfare work requirements only if they had a credible plan to increase employment by 20 percent.,Truth
"Says out of 588 school districts, we give 31 (former Abbott) districts 70 percent of the aid.",Truth
I am going to be on the ballot in all 50 states. There is no other third-party candidate thats going to come close to achieving that.,Truth
25 percent of federal inmates are noncitizens.,Truth
Every child in Colorado who has been given medical marijuana for treatment for seizures has had diminished seizure activity.,Truth
"Under President Barack Obamas watch, oil production on federal lands has decreased 14 percent over the past year.",Truth
Recent record-low water levels in Lake Michigan are evidence that global warming is leading to the evaporation of our Great Lakes.,Truth
"Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.",Truth
"The reality is, we are holding some of the most dangerous terrorists in the world right now in our federal prisons, including the mastermind of the 1993 World Trade Center bombing, the 'shoe bomber,' the 'Unabomber,' and many others.",Truth
SaysDemocratic candidate for state school superintendent Alisha Thomas Morgan voted to slash funding for the preschool programs for disabled and special needs students.,Truth
African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.,Truth
"Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans.",Truth
"Worldwide credit card transactions, the credit card fraud rate is 0.04 percent, compared to almost 8 percent, 9 percent, 10 percent of Medicare fraud.",Truth
We Really Do Have the Highest Corporate Tax Rate in the World.,Truth
"Says the Texas Board of Nursing has a backlog of 3,000 complaints against nurses, many of them sexual assaults, malfeasance.",Truth
New Jerseys once-broken pension system is now solvent.,Truth
"Says Ted Strickland in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I dont know where he is on this issue.",Truth
Says Ron Johnson likes to say there are too many lawyers in the Senate 57. Hed be the 70th millionaire.,Truth
"Barack Obama will somehow manage to add more than $8 trillion to the national debt, which is more debt than the 43 presidents who held office before him compiled together.",Truth
"Lizbeth Benacquisto broke election law 105 times, hiding special interest contributors.",Truth
"Bill McCollum voted four times to raise his own pay, by a total of $51,000, and earns a congressional pension worth more than $75,000 a year.",Truth
Says Ohios economic recovery started in February 2010.,Truth
"The port provides more than 297,000 jobs directly to the state of Georgia.",Truth
China is in the South China Sea and (building)a military fortress the likes of which perhaps the world has not seen.,Truth
"If Florida had not taken the stimulus, it would have led to the firing of 20,000 teachers.",Truth
"The Democrats' health care bills would end ""the denial of ... coverage to those who have a pre-existing condition,"" while the Republican bill would not.",Truth
"In the past 10 years, our (Austin) water rates have increased by 100 percent and we now have the highest water cost of the top 10 cities in Texas.",Truth
"Guess what, governor? Theres no fried butter in Newark. Just 13 percent unemployment.",Truth
About 95 percent of (Ohios) electricity comes from burning coal.,Truth
There is a situation in this country where youre nearing 50 percent of people who dont even pay income taxes.,Truth
Proposed fees for Rhode Island beaches will still be less than some of the town beaches.,Truth
Says Mitt Romney flip-flopped on a taxpayer protection pledge.,Truth
The Iran nuclear deal is putting billions of dollars back into a country thats the worlds largest supporter of terrorism. We are actually giving them the money to fund the terrorists that are killing us and our allies.,Truth
Three thousand felons voted in Rhode Island in 2008.,Truth
"The House-passed budget proposal could cut funding for programs that help keep local neighborhoods safe, slash more than $1.7 million in anti-terror funds for Ohio.",Truth
It has been the law since the beginning of the country that the children of American citizens born ... abroad are American citizens by birth.,Truth
"Democrats already agreed to a deal that Republicans wanted, that Eric Cantor said would be a win.",Truth
"The violent crime rate in America is the same as it was in 1968, yet our prison system has grown by over 500 percent.",Truth
About 85 percent of hotel guests who will pay the new $5 hotel/motel fee will be from outside Georgia.,Truth
"The national debt of $16 trillion, is enough to buy both the Cleveland Indians and Cincinnati Reds 1,918 times.",Truth
Half the lottery directors across the country had not run a lottery before they were hired.,Truth
"If Question 1 were to pass here in Nevada, we would have more restrictive gun laws here in Nevada dealing with the transfer of firearms than they do in California.",Truth
Rhode Island spends 52 percent more per capita on human service programs than the national average.,Truth
Austin has gone from being the 24th most congested city just about 10 years ago to being the fourth most congested more congested than NYC.,Truth
Says out-of-state abortion clinics have marketed their services to minors in states with parental consent laws.,Truth
Congress will begin its recess without having allocated one penny to fight Zika.,Truth
"There are no rules governing the 2016 Republican convention, the rules have not been set.",Truth
Most people in New Hampshire want to raise the minimum wage. (State Rep. Marilinda) Garcia opposes it.,Truth
Georgia had the worst job losses in state history under GOP watch.,Truth
There is not a single documented case of abuse of the bulk metadata collectionprogram.,Truth
Says excessive speculation is pushing up oil prices and a recent report estimates it adds 56 cents to every gallon of gasoline siphoned from the pump.,Truth
I have filed every disclosure that has ever been required.,Truth
"In her first appellate argument, Ms. Kagan told the court that the speech and press guarantees in the First Amendment would allow the federal government to ban the publication of pamphlets discussing political issues before an election.",Truth
There have been more terrorist attacks on U.S. soil by ... Muslims in Obamas first 18 months in office than in the six years under Bush after he invaded Iraq.,Truth
"The (ARC Tunnel) project was originally estimated to be $8.7 billion, and New Jersey alone was on the hook for all overruns.",Truth
"As governor, [Mitt Romney] balanced the budget without raising taxes and created jobs.",Truth
"Approximately 43 percent of all college grades today are As, an increase of 28 percentage points since 1960.",Truth
The budget currently being debated significantly decreases the use of one-time resources.,Truth
Says the federal government is supporting a study in Hawaii to develop a menu for when we colonize Mars.,Truth
"This is the first time in our state, and one of the first times in the country, where benefit reductions . . . has happened to people who are retired.",Truth
"Forty years ago ... about half of congressional districts were genuinely competitive. Today, only about 10 percent of House races on Cook Political Report are listed as toss-ups or lean to one party.",Truth
"If Obama's economic plan creates 600,000 new government jobs, ""that's about the size of the post office work force.""",Truth
"The Republican who was just elected governor of the great state of Florida paid his campaign staffers, not with money, but with American Express gift cards.",Truth
Pollsters saydont actually believe our own data and Gallup stopped primary polling because they dont trust their methodology.,Truth
Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.,Truth
"The state of Georgia has lost 200,000 total jobs and 50,000 construction jobs since May 2007.",Truth
Weare picking up oil with shovels and paper and plastic bags.,Truth
"Despite having their budget increased by over 40 percent since 2009 pending claims for benefits with the (Department of Veterans Affairs) have increased from 391,000 to 890,000 under the Obama Administration.",Truth
The authors of a report on CIAs torture techniques never interviewed a single CIA official.,Truth
"As a result of Roe vs. Wade, Americas maternal mortality rate dropped dramatically.",Truth
"Eight of the nine justices in the Supreme Court decision (on campaign finance) said that not only is it constitutional for Congress to require disclosure of the special interest money, but they recommend we do it.",Truth
Says the tax code is effectively subsidizing the marketing efforts of fast food and junk food companies by as much as $19 billion over 10 years.,Truth
Says opponent Mary Burke says she supports Obamacare unequivocally and wants to expand it.,Truth
"From 2003 to 2006, Sesame Street made more than $211 million from toy and consumer product sales.",Truth
"Sewer backups into basements caused the vast majority of the damage to homes and buildings in Milwaukees July floods, but federal flood insurance doesnt cover them.",Truth
The reason we have a national debt is not because of defense spending. What is driving our long-term debt are Medicare and Social Security programs.,Truth
"The Dolphins stadium renovation will create more than 4,000 new local jobs.",Truth
More Americans believe the moon landing was fake than believe Obamacare is affordable.,Truth
"U.S. Rep. Alan Grayson ""compared a former vice president to a vampire ... and compared America's health care system to the Holocaust.""",Truth
"Says the most dangerous time for children is from 3 to 6 p.m., during which time juvenile crime rates triple",Truth
I ended up my time as governor with a general fund budget that was smaller than the one I started with.,Truth
John McCain stood up to the president and sounded the alarm on global warming ... five years ago.,Truth
"University of Texas undergraduate student debt is less than $21,000 probably one of the lowest debts across the nation.",Truth
Austin mayoral candidate Steve Adler opposed an injunction to stop a company from dumping petrochemicals directly into the Barton Springs aquifer.,Truth
Only 14 percent of Americans were able to keep these individual market plans for two years before Obamacare became law.,Truth
"Obama says his bill ""reduced welfare rolls nearly 80 percent.""",Truth
Says legislation pending in the House would effectively limit or eliminate time-and-a-half for people who work overtime.,Truth
"Says that under the Obama administration, the debt has nearly doubled.",Truth
"I think with the exception of the last year or maybe the last two years, we were at 100 percent when it came to contributing to the Providence pension fund.",Truth
Georgia is the second-fastest growing state for international tourists.,Truth
Every student paying out-of-state tuition actually covers more than the cost of instruction.,Truth
"John McCain and George Bush have ""absolutely no plan for universal health care.""",Truth
Public display of a long rifle is perfectly legal in Texas.,Truth
The U.S. is spending one out of every six Defense Department dollars on Afghanistan.,Truth
Ted Cruz defended a Chinese company that stole an invention from an American inventor.,Truth
''Both Democrats and Republicans are advocating for the use of student test scores to measure teacher effectiveness.'',Truth
Says Republican lieutenants to House Speaker Joe Straus aired radio ads supporting Democrat(ic state Rep.) Mark Homer... helping the Democrat to a narrow win.,Truth
Says Matt Wand has sided with anti-choice activists to restrict access to reproductive health care services.,Truth
We spend more per student than almost any other major country in the world.,Truth
"The director of the FBI said that we cannot figure out who (Syrian refugees) are, what their intentions are, because we have no information on them, because we dont have any contact with the Syrian government or any people on the ground to be able to determine that.",Truth
The Confederate battle flag in South Carolina was first flown at the statehouse in 1961.It was flown as a symbol of massive resistance to racial desegregation.,Truth
"After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.",Truth
Bill Clinton cut the military drastically.,Truth
Says U.S. Sen. Ron Johnson doesnt even believe that theres a man-made role in climate change.,Truth
Obamas approval numbers are in the low 40s.,Truth
"Since January 2010, New Jersey has added 103,000 new private sector jobs. The last two years -- 2011 and 2012 -- have been the best two years of private sector job growth since 1999.",Truth
"Says British voters under 50, especially millennials, overwhelmingly voted to stay, in the European Union. It was older voters who voted to leave.",Truth
Says a Republican hasnt won [an election] for a presidency in New Jersey since 1988.,Truth
"In the last 29 months, our economy has produced about 4.5 million private-sector jobs.",Truth
Says he has sued the Obama administration 25 times.,Truth
99 percent of all new income today (is) going to the top 1 percent.,Truth
Zika mosquitoes cant catch me.,Truth
Thom Tillis cut almost $500 million from education.,Truth
"And by the way, when I was governor, I did make the payment into the pension fund.",Truth
Polls show Bernie Sanders would do better than Hillary Clinton in a head-to-head battle against Donald Trump.,Truth
