post,label
New publication in  on indirect impacts of  pandemic on HIV TB and Malaria ️Maintaining most critical prevention activities ; healthcare services will substantially reduce overall impact  pandemic Full article  ,Truth
Two states in particular have some concerning hospitalization numbers: Minnesota and North Carolina. ,Truth
RT : ◾India crosses a crucial milestone in the fight against  ◾Tests more than 10 lakh people in a day ◾Cumulative test…,Truth
Daily mortality growth rate declined by ~ 6.1 % points and hospitalization growth rate declined by ~ 8.4 % points In states with Stay At Home Orders.  ,Truth
 establishes its global position with export of 23 lakh PPEs in one month. More than 1.28 Cr PPEs distributed to States/UTs.       ,Truth
Sixteen new cases of  have been reported in Nigeria: 10 in Lagos 2 in the FCT 2 in Oyo 1 in Delta and 1 in Katsina As at 09:30 pm 7th April there are 254 confirmed cases of  reported in Nigeria. Fourty-four have been discharged with six deaths ,Truth
• Today's case means our total number of confirmed cases of COVID-19 is 1154 which is the number we report to the World Health Organization. ⁣ ⁣ • Our combined total of confirmed and probable cases is 1504.,Truth
RT : Cover your cough!  spreads through respiratory droplets when an infected person coughs sneezes or talks. Additio…,Truth
Update from : ⁣ There is 1 new case of COVID-19 to report in managed isolation in NZ.⁣ ⁣ This is a woman in her 60s who arrived in NZ on the 18th of June on an Air India repatriation flight. She is at the Jet Park quarantine facility in Auckland. ,Truth
Newly Updated: COVID-19 investigational drugs and therapies.  ,Truth
 Nearly 60% of the total cases are being contributed by five States viz. Maharashtra Andhra Pradesh Tamil Nadu Karnataka and Uttar Pradesh. ,Truth
The data today is confusing. After days of huge test volumes we're back to the levels of the earlier plateau. The fewest new cases were confirmed of any day in April but the positive rate was higher than in the last few days too.,Truth
People over 50 years and those with preexisting medical conditions like diabetes are at a higher risk of complications due to   Advisory for Vulnerable Groups provides useful guidance if you or a loved one falls into this group Download  ,Truth
: State-wise details of Total Confirmed  cases (till 16 September 2020 8 AM) ️States with 1-15000 confirmed cases ️States with 15001-115000 confirmed cases ️States with 115000+ confirmed cases ️Total no. of confirmed cases so far ,Truth
RT :  ’s One-Stop Shop for  Resources has a section for communicating with people ages 15-21. Find those t…,Truth
We are grateful to the Nigerian Association of Technologists in Engineering for supporting national  response with face masks ; hand sanitisers We continue to work with professional bodies in the whole-of-society response to   ,Truth
⁣ • There are no additional deaths to report.⁣ ⁣ • The total number of tests completed to date is 233843.⁣⁣ ⁣ • Today is World Family Doctor Day. A big thanks to the 5500 GPs around New Zealand for the work they do every day.,Truth
Police have shut down a series of illegal parties overnight as people enjoyed a final weekend of revelry before tougher  restrictions come into force ,Truth
Among young adult U.S. service members on an aircraft carrier tested during a  outbreak nearly 1 out of 5 infected service members showed no symptoms. Wearing cloth face coverings and social distancing may help reduce the spread of COVID-19.  ,Truth
People are drinking sanitizer to get an alcohol high a dangerous trend. ,Truth
We will continue testing in the community as part of our ongoing strategy to continue with the elimination of COVID-19. Anyone with respiratory symptoms should call their GP or Healthline on 0800 611 116 to get advice on getting a test. Testing is free in NZ.,Truth
Two notes in the numbers today: Washington State revealed they had been counting antibody tests in its numbers so their total number of tests will drop. Yesterday we accidentally counted Mississippi's antibody tests in its total. We're correcting the data today.,Truth
Helping patients through post-COVID post-intensive care syndrome.   ,Truth
: UPDATES on  India’s 60% Total Cases in 5 Most Affected States The total number of active cases in the country stands at 919018 as on date.   ,Truth
  is a wildfire not a wave.  via  ,Truth
The emotional toll of  is real especially among some people of racial and ethnic minority groups who have been unequally affected by this pandemic.  Help Save A Life.   ,Truth
Do you think you may have  Most people who get sick can take care of themselves at home. If you need to see a doctor call ahead before going to their office. Take precautions to protect yourself and others around you. See more:  ,Truth
WHO   and  launch COVID-19 Law Lab a platform that shares legal documents from over 190 countries across  to support the global  response. More details   ,Truth
RT : Handwashing is one of the best ways to protect yourself ; your family from getting sick with . Learn when ; how y…,Truth
Coronavirus: 'Chaos' as drivers queue for hours for COVID-19 tests before being turned away ,Truth
Our laboratories processed 9174 tests our highest day of testing since we began. This includes testing in managed isolation facilities as well as testing across the community.,Truth
The number of people states report to be hospitalized with COVID-19 continues to drop. 57% of COVID-19 hospitalizations are currently in the South while the Northeast has fallen to 5%. ,Truth
Although  is a risk for all indigenous peoples globally WHO is deeply concerned about the impact of the virus on indigenous peoples in the Americas which remains the current epicenter of the pandemic-,Truth
RT : The 500 bed hospital at Bihta Patna will be inaugurated today and the 500 bed hospital at Muzaffarpur will be inaugurated ve…,Truth
"Andrew Percy says constituents are concerned they followed the rules when others did not and will ""suffer as a result of these further measures"" PM says a programme of ""tough enforcement"" is being implemented because people ""feel let down"" by those who have broken the rules ",Truth
• On Thursday 21 May bars will be able to open with all requirements set out last week. We have left bars until last as they pose the most risk. • We need to limit our social gatherings for now. Parties or big celebrations will need to be limited to 10 people for now.,Truth
Preparing for hurricane season To avoid exposure to  try home delivery services to buy your disaster supplies. If that is not an option for you be sure to take steps to protect your health and the health of others when running essential errands.  ,Truth
Results of genome testing from two Auckland COVID-19 cases that were under investigation have returned this morning confirming one case is connected to the Auckland August cluster.,Truth
On Friday there were 133 people swabbed over a two-hour period at New World in New Plymouth. The testing centre in Manurewa had 153 people swabbed yesterday and 326 people were tested yesterday at the pop-up clinic in Christchurch.​⁣,Truth
: MHA issues new Guidelines   opens up more activities outside Containment Zones Strict enforcement of  in Containment Zones till 30th September 2020 Details:    ,Truth
:  testing status update:  stated that 65325779 samples tested upto September 21 2020 933185 sample tested on September 21 2020   ,Truth
: India's  recovery rate improves to 78.86% as on September 18 2020 Steady improvement in India's COVID-19 recovery rate since  initiation on March 25 2020   Via  ,Truth
If you develop common symptoms of  like fever cough or sudden loss of taste or smell  Please do not self-medicate. Call your state hotline immediately for advice. Do it for yourself and for the rest of us ,Truth
"I don't think anybody wants to go into a second lockdown. Prime Minister Boris Johnson says ""clearly"" when you look at what is happening with a spike in  cases ""you've got to wonder whether we need to go further than the rule of six"". Latest:  ",Truth
Daily 4pm update. Across 50 states and DC we've tracked: 3173 positives 22548 negatives 2242 pending. Total # of people tested: 27963. Before trying to interpret this data please read over our notes about how each state reports data differently:  ,Truth
COVID-19 Update Today there are three new cases of COVID-19 to report in NZ and for the first time six historical cases are being reported made up of one confirmed case dating back to February and five probable historical cases connected to the case also dating back to February ,Truth
RT : . is providing $225 million for  testing in rural communities. Further expanding testing capacity is a crucial…,Truth
AI spots COVID lung damage with 95% accuracy.   ,Truth
: Nearly 60% of the total cases are being contributed by five States viz. Maharashtra Andhra Pradesh Tamil Nadu Karnataka and Uttar Pradesh.   ,Truth
There are now 63 people linked to the community cluster who remain in the Auckland quarantine facility which includes 47 people who have tested positive for COVID-19 and their household contacts.,Truth
RT :  India scales another peak. In last 24 hours 12 lakh tests were conducted across the country which is…,Truth
There are 161 people linked to the community cluster who have been transferred to the Auckland Quarantine facility this includes 88 people who have tested positive for COVID-19 and their household contacts.,Truth
248 new cases of ; 81-Lagos 35-Jigawa 26-Borno 26-Kano 20-Bauchi 13-FCT 12-Edo 10-Sokoto 7-Zamfara 4-Kwara 4-Kebbi 2-Gombe 2-Taraba 2-Ogun 2-Ekiti 1-Osun 1-Bayelsa 4399 cases of  in Nigeria Discharged: 778 Deaths: 143 ,Truth
 10 States/UTs account for 83% of the deaths in the last 24 hours due to . 1129 deaths have been registered in the past 24 hours. Maharashtra reported 479 deaths followed by Uttar Pradesh and Punjab with 87 and 64 deaths respectively. ,Truth
Controls at the borders remain for those entering New Zealand including health screening and testing for all arrivals and mandatory 14 day managed quarantine or isolation,Truth
: Active cases only 22% of total COVID cases Recoveries are now 26 lakh. Exceed Active cases by more than 18 lakh.   ,Truth
Coronavirus: The government ramped up testing quickly - but now the system is stuttering ,Truth
There were an estimated 6000 new  cases every day in England during the first week of September ,Truth
At today’s  briefing DG  announced Nigeria’s first large seroprevalence survey for . ‘NCDC in collaboration with  ; partners is conducting a household seroprevalence survey for better understanding of  transmission in Nigeria’ ,Truth
New report in  found higher percentages of people in racial/ethnic minority groups who died of  were under 65. Read the report to learn more:  ,Truth
RT :  In the past 5 months more than 3/4 of cases have recovered and less than 1/4 are active now. Effecti…,Truth
1/10 The UK could soon see 49000 new cases of  every day unless action is taken warns the government's chief scientific adviser. Click below  to find out more ,Truth
:  India Tracker (As on 23 September 2020 08:00 AM) ️Confirmed cases: 5646010 ️Recovered: 4587613 (81.3%) ️Active cases: 968377 (17.2%) ️Deaths: 90020 (1.6%)    Via  ,Truth
And if we can work together we can ensure that all essential workers are protected and proven treatments like dexamethasone are available to those who need them-  ,Truth
Labour leader Sir Keir Starmer is self-isolating after a member of his household displayed possible  symptoms ,Truth
Coronavirus: Slovenia and Guadeloupe added to England's quarantine list - but Thailand and Singapore removed ,Truth
There’s a critical lack of representative clinical images of  -associated skin manifestations in patients of color. ,Truth
You asked: Can I get  from food including delivery or restaurant takeout Learn more:  ,Truth
Offering essential cancer care in the new normal of coronavirus.  ,Truth
Total deaths remain highest in the Northeast with nearly 29000—certainly a substantial undercount as New York reports only deaths within long-term care facilities not those linked to such facilities but occurring in hospitals. ,Truth
The highlights of the new nationwide measures are as follows; 1) There will be an overnight curfew from 8pm to 6am. This means all movement will be prohibited during this period except essential services; ,Truth
As of today the   in   is 81.6%:             ,Truth
As at 11:25 pm 21st April breakdown of cases by states: Lagos-430 FCT-118 Kano-73 Osun-20 Ogun-20 Oyo-16 Katsina-16 Edo-15 Kwara-9 Kaduna-9 Akwa Ibom-9 Borno-9 Bauchi-8 Gombe-5 Delta-4 Ekiti-4 Ondo-3 Rivers-3 Jigawa-2 Enugu-2 Niger-2 Abia-2 Benue-1 Anambra-1 Sokoto-1,Truth
A Christchurch person discussed yesterday as being under further investigation has now been confirmed as not a case of COVID-19. The investigation has been closed.​⁣⁣,Truth
• Other complaints relate to not maintaining proper distancing in retail​ • The amount of gatherings was lower than in previous weekends ; the focus remains on education encouragement and engagement​ • A total of 30 breaches 29 of those resulted in warnings 1 prosecution,Truth
We are proud to announce that India has realised PM 's vision of conducting 10 lakh tests per day! This is a significant milestone in our fight against COVID-19.    ,Truth
Latest update from The Ministry of Health: Today there are 2 cases of COVID-19 to report in NZ. Both have recently returned from overseas and are in managed isolation facilities. The total number of active cases in NZ is 16. There are no cases in the community.,Truth
252 new cases of ; Plateau-50 Enugu-35 Rivers-27 Lagos-26 FCT-18 Kaduna-18 Ekiti-10 Kano-10 Taraba-9 Anambra-8 Edo-8 Oyo-8 Delta-7 Ogun-6 Abia-5 Bayelsa-5 Ebonyi-1 Osun-1 52800 confirmed 39964 discharged 1007 deaths ,Truth
 Kia ora Vincent to be considered a cluster there must be ten or more cases connected through transmission and who are not all part of the same household. The cluster includes both confirmed and probable cases.,Truth
On today’s numbers. States reported 63k cases the second-highest number ever after yesterday (67k). The average number of daily deaths reported by states over the last 7 days rose by 150 from Saturday to Saturday. ,Truth
While the reimbursement will go some way to helping the UK's leaders with the management of the  crisis the figure pales in comparison to the £3.5bn officials think was paid out in error or to fraudsters ,Truth
COVID-19 Update Today there are five new cases of COVID-19 to report in New Zealand- two in MIQ and three in the community. This brings our confirmed cases of COVID-19 is now 1406 which is the number we will report to the World Health Organization.,Truth
 With more than 9 lakh  tests in last 24 hour India tests nearly 3.9 crore. India’s crosses another milestone- Total Recoveries surpass 2.5 million. The gap between Active and Recovered cases reaches nearly 18 lakh.  ,Truth
: 22 States/UTs have better Tests Per Million (TPM) than National Average. Goa Delhi Andhra Pradesh and Tamil Nadu are reporting maximum number of tests in a day. Details:     ,Truth
Healthcare professionals:  CDC offers trainings on clinical care and infection control PPE NPIs and emergency preparedness and response specific to COVID-19 Find recently recorded  webinars and online courses:  ,Truth
Yesterday our laboratories processed 1692 COVID-19 tests of which 1259 swabs were taken in the community and 433 swabs were taken in managed isolation or quarantine facilities.,Truth
  You're correct that Rt becomes harder to maintain as cases become low. We're currently working on improving our metrics to better measure containment,Truth
Brazil is a worrying combination of pandemic and pandemonium. ,Truth
The chairman of the British Medical Association Dr Chaand Nagpaul says that wearing face masks is “extremely important” explaining that they prevent “about 80 percent of virus spreading from one person to the other”. :  ,Truth
: Total  Cases in India(as on August 29 2020) ️76.47% Cured/Discharged/Migrated (2648998) ️21.72% Active cases (752424) ️1.81% Deaths (62550) Total COVID-19 confirmed cases = Cured/Discharged/Migrated+Active cases+Deaths Via  ,Truth
304 new cases of ; FCT-90 Lagos-59 Ondo-39 Taraba-18 Rivers-17 Borno-15 Adamawa-12 Oyo-11 Delta-9 Edo-6 Bauchi-4 Kwara-4 Ogun-4 Osun-4 Bayelsa-3 Plateau-3 Niger-3 Nasarawa-2 Kano-1 44433 confirmed 31851 discharged 910 deaths ,Truth
New  measures have been introduced by the Spanish government as infection rates exceed one in 100 people in some of Madrid's worst-affected areas in the city and its outskirts home to around 850000 people ,Truth
RT :  ◾ 3387500 total confirmed cases ◾ 2583948 cases cured/recovered ◾ 39477848 samples tested Here's the…,Truth
The mandatory 14 days in isolation is the key part of our border control. The routine testing that we added last week is an additional measure.,Truth
"I’ve never had a chance to work on something that’s so high-level…” Silvina Masciotra became interested in biology in high school. Now she works with the White House Coronavirus Task Force to help states with  testing:  
 Your mask should cover your nose AND mouth to help protect others and slow the spread of . Learn how to wear your mask correctly.    
If you’re planning to stay with friends or family outside of your household to evacuate from a storm talk with them about how you all can best protect yourselves from . Find more safety tips here:  
We must continue to help slow the spread of  for ourselves our loved ones and our future. Do your part and wear a mask stay 6 feet away from others and wash your hands. Learn more:  
 Holding and talking to your baby is a great way to support their development. Find other parenting tips by visiting  
HCPs: Electronic case reporting (eCR) reduces the burden on healthcare professionals ; facilities by automating submission of mandated case reports to public health departments. eCR provides more complete data faster than traditional case reporting:  
Do you have a disaster plan for your family (including pets) in the event of a  or severe storm This year be aware that your shelter location may have changed. Check with local authorities and make a plan before the storm.   
RT : Wondering how you can do your daily activities safely while protecting yourself ; your loved ones from  To help…
RT : Getting vaccinated for  helps protect yourself and others from getting infected. Learn more about who should get vac…
RT : The  pandemic has raised many questions about transmission of the virus that causes COVID-19. Aerosol scientists answer…
RT : No AC during times of  Prevent heat-related illnesses by drinking cold drinks taking a cool shower or bat…
RT : Wildfires can spread quickly destroying homes and putting lives in danger. Take steps to be ready for a wildfire and prepare…
Salmonella Outbreak: Do not eat serve or sell recalled peaches packed or supplied by Wawona Packing Company. 68 people in 9 states are sick with Salmonella linked to peaches. For more information:  
RT : CDC has published its updated  recommendations for the 2020-21 season in . Getting a flu vaccine this season…
RT : Heading into the weekend make sure you're doing your part and following my 3⃣ W's - ▪️ Watch your distance  ▪️ Wear…
RT : Today we recognize and honor the contributions of our senior citizens! Help older adults stay strong safe and independent…
RT : Make the most of your summer – follow these six tips to stay active healthy and safe:  …
The latest CDC  report shows the percentage of deaths attributed to  is 7.8%. Although lower than the previous week (12.6%) this percentage is above the epidemic threshold and will likely increase as more death certificates are counted:  
RT : Create a “go kit” for personal items you can’t do without in case you need to evacuate. Include hand sanitizer soap a…
As of August 17 forecasts suggest that up to 9600 new weekly deaths will be reported in the week ending September 12. These data predict 187000 to 205000 total reported  deaths in the US by September 12. Learn more:  
Condoms plus a more effective birth control method help prevent   and unintended pregnancy. Only 9% of high school students used this approach the last time they had sex.  
DYK: There’s no data to suggest that mosquito and tick bites spread coronaviruses. The main way that  spreads is from person to person. Learn more:  
Each region of the United States experiences climate change and its impacts on health differently. CDC is helping local communities prepare for the regional health impacts of climate change. Read CDC's new report:  
Rhode Island child care programs that followed reopening requirements such as limited interactions between classes and adults wearing masks from  had limited spread of . Read more in :   
 professionals: Have you begun planning for  vaccination clinics this fall See updated guidance to help plan and implement mass clinics including guidance on physical distancing PPE and enhanced sanitation.  
 of children ages 0-2 years: Have you missed any well-child visits because of  On Monday August 24 ask any questions you may have about essential childhood vaccines during our Instagram Q;A from 12-2pm ET. 
Clinicians: This season high-dose ; adjuvanted  are available in a quadrivalent formulation for patients 65+. These vaccines are intended to produce a better immune response and therefore better protection in this age group. Learn more:  
RT : Thinking about traveling Before you go consider the following: • Is  spreading at your destination • Are you mo…
RT : Smoking during  increases the risk of health problems for developing babies. Quitting smoking before pregnancy is be…
RT : Poison Centers are free and available to everyone. Call 1-800-222-1222 and Text POISON to 797979 to save the Poison Hel…
RT : : High humidity can make it tougher for your body to deal with warm weather. Keep your cool this summer with these tips fro…
RT : In 2018 the South had the nation's highest rate of new  diagnoses. The South's larger and more geographically dispers…
RT : Does wearing a mask mean you don’t have to practice social distancing The answer is no. Wearing a mask while in public A…
RT : Have you recently recovered from  If confirmed by a positive test please consider donating  to help save…
RT : Are you planning a trip to the beach Your risk of  is highest if you are less than 6⃣ft from people at a crow…
RT : Mosquitoes kill more people than any other animal on the planet. You can take simple steps to protect yourself and your fam…
RT : This  imagine a world without . In this video message  shares how CDC and  ha…
Outbreak: 68 people in 9 states sick with Salmonella linked to bagged peaches. Do not eat serve or sell any recalled Wawona-brand bagged peaches sold at ALDI stores in several states. More info:  
A new  report shows that mass testing in 16 U.S. prisons and jails identified 12 times more cases of  than when testing was offered based on symptoms alone. Learn more:  
JUST RELEASED: 2019 Youth Risk Behavior Survey results on the latest health risks and experiences among youth. Find all the data here:   
See  for  recommendations that doctors nurses and pharmacists will follow for the 2020-21 flu season. Getting a  vaccine will be more important than ever to help reduce strain on the healthcare system and save medical resources.  
New in : Learn how rigorous testing during intake and separating new incarcerated people into groups likely helped prevent a  outbreak in correctional facilities in Puerto Rico. Learn more:  
If you’re planning to stay with friends or family outside of your household to evacuate from  talk with them about how you all can best protect yourselves from . Find more safety tips here:  
: Don’t miss today’s CDC Clinician Outreach and Communication (COCA) call “2020-2021 Influenza Vaccination Recommendations and Clinical Guidance during the COVID-19 Pandemic.” 2-3 pm ET.   
Was your child recently diagnosed with acute flaccid myelitis AFM can be devastating and cause uncertainties about recovery. Read stories from parents who have been in your shoes and get support from the AFM community.     
RT :  that one of the many benefits of breastfeeding is that it can lower a mother’s risk of some cancers Learn about the b…
RT : Good news! Healthy People 2030 Objectives are now available. 11  objectives focus on improving oral health acros…
RT : Tele started using  at the young age of 13. Today he shares his struggles and road to recovery in hopes that it help…
RT : Wearing masks in public can help stop the spread of  but masks won’t protect you from  smoke. Limit y…
RT : If you travel take steps to protect yourself ; others from : • Wear a mask in public. • Avoid close contact with ot…
RT : We all have a role to play in preventing the spread of .  
RT : Need basic information about  You can order free print copies of CDC's The Facts"" brochures! Available in English and Sp…",Truth
:  testing status update:  stated that 66279462 samples tested upto September 22 2020 953683 sample tested on September 22 2020   ,Truth
One other note: the U.S. positive rate has remained around 20% throughout April. The positive rate for today's reported tests dropped to 16%. One day doesn't make a trend but good to see a lower floor.,Truth
The U.S. situation continues to be highly influenced by the regional decline in the NY metro area—while the rest of the country shows a different pattern. ,Truth
“We are working with stakeholders in the private ; public sectors to expand testing capacity for  in . We have reviewed our case definition to reflect evolving changes in our local context. About 4000  tests have been conducted in-country” ~  ,Truth
For more information on symptoms of COVID-19 and what to watch for visit: ,Truth
:  testing status update:  stated that 60565728 samples tested upto September 16 2020 1136613 sample tested on September 16 2020   ,Truth
RT :  UPDATE  1132 case fatalities have been reported in the past 24 hrs.  With 474 new cases of mortality in M…,Truth
The pop-up centre in Queenstown had over 1050 people showing up on Tuesday alone for testing. There were 1076 swabs in total taken at the pop-up centres all had a negative result.,Truth
New  report is the first to look at  illness in kids in the U.S. Among more than 2500 cases of COVID-19 in children in the U.S. three children reportedly died.  ,Truth
Medical groups say in unison WEAR A MASK.  via  @,Truth
Three stories to read this afternoon: UK records 4926 new cases - highest daily figure in four months  Boris Johnson reveals new COVID-19 rules  Scotland bans household visits  ,Truth
A number of vaccines are now in the final stage of clinical trials and we all hope we’ll have multiple successful candidates that are both safe and effective.- ,Truth
Our total number of confirmed cases to date is 1387. ​ ​ Our labs completed 7219 tests yesterday. The total number of tests completed to date is 758027.,Truth
"Prime Minister Boris Johnson says ""we are a long way off"" having 'pregnancy-style'  tests and adds as soon as those tests become available it will be easier for theatres and football stadiums to reopen fully.  ",Truth
Be ready for this wave because it will arrive. A doctor from Spain has warned the UK public to wear masks as he says a second wave of  is on its way. To read more click here:  ,Truth
Coronavirus: Labour leader Sir Keir Starmer self-isolating after household member showed COVID-19 symptoms ,Truth
 10 States/UTs account for nearly 73% of the New Recovered cases. Maharashtra has maintained this lead with 19592 new recoveries. ,Truth
There are 7 previously reported cases who are considered to have recovered today bringing the total number of active confirmed cases to 136 plus one previously reported probable case remains active. Of the 137 active cases 20 are imported cases in MIQ facilities.,Truth
: Attend today’s COCA call on Telehealth ; Health Equity: Considerations for Addressing Health Disparities during the COVID-19 Pandemic at 2pm ET. Learn more:   ,Truth
Due to recent low testing numbers likely related to the holiday weekend 7-day average tests fell to 667k the lowest since mid-July. ,Truth
This includes four related to the recent case involving a health worker at the Auckland quarantine facility.,Truth
Our total number of confirmed cases of COVID-19 remains at 1458 which is the number we report to the World Health Organization. Yesterday our laboratories processed 7360 tests bringing the total number of tests completed to date to 897077.,Truth
Most of these changes had minimal impact. MN whose units switched from unique ppl to encounters and NH whose units switched from unique ppl to specimens drove the increase. These rises are due to the inclusion of repeat testing which unique ppl counts do not capture.,Truth
: India's total  recoveries have crossed 30 lakh (3037151) today. India has continued its trajectory of posting more than 60000 recoveries for the 8th consecutive day. Recovery Rate reaches to 77.15%. Details:  ,Truth
 5 States contribute 60% of total  cases 62% of  cases and 70% of total  reported in India.  ,Truth
423 new cases of ; Lagos-117 FCT-40 Ondo-35 Rivers-28 Osun-24 Benue-21 Abia-19 Ogun-19 Ebonyi-18 Delta-17 Kwara-17 Kaduna-15 Anambra-14 Ekiti-11 Kano-9 Imo-6 Gombe-4 Oyo-3 Taraba-3 Bauchi-1 Edo-1 Nasarawa-1 47290 confirmed 33609 discharged 956 deaths ,Truth
RT : Staying home is the best way to slow the spread of . It can be hard to remain apart from loved ones during challengi…,Truth
“Our advice to  firstly is to receive ; share information only from official health authorities such as  . A total of 323 cases of  have been confirmed out of over 5000 tests conducted in ” ~  on  107.7FM. ,Truth
 spreads mainly among people who are in close contact with one another (less than 6 ft). Wear a mask in public ; when around people not living in your household especially when social distancing is difficult to maintain.    ,Truth
People can spread  to pets. Protect your dog by limiting their contact with people outside your household as much as possible. Learn more.  ,Truth
Since August 12 our contact tracing team has identified 3912 close contacts of cases of which 3908 have been contacted and are self-isolating and we are in the process of contacting the rest.,Truth
"Maximum suppression is our strategy.  says Wales has been more ""cautious"" than the government in Westminster in its approach to  so there is no need to ""go into reverse"" with restrictions. Get the latest  updates:  ",Truth
There are nine previously reported cases that are now considered to have recovered from COVID-19. Our total number of active cases is 62 - of those 29 are imported cases in MIQ facilities and 33 are community cases.,Truth
          In India there are 3  trials are underway. The DCGI has permitted Serum Institute of India (SII) to conduct Phase 3 trial of the vaccine developed by the Oxford University in India.,Truth
Heart conditions like myocarditis are associated with some cases of . Severe cardiac damage is rare but has occurred even in young healthy people. CDC is working to understand how COVID-19 affects the heart and other organs. Learn more here:  ,Truth
• There is one person receiving hospital-level care for COVID-19; they are in Middlemore and are not in ICU. ⁣ ⁣ • Yesterday our laboratories completed 5408 tests bringing the total number of tests completed to date to 250246.⁣,Truth
Update from the  There are three new cases of COVID-19 to report in managed isolation in New Zealand today.​ ​ The number of active cases in New Zealand is 25. It has been 79 days since the last case of COVID-19 was acquired locally from an unknown source.,Truth
